event_id,country,date,event,category_en,category_zh
1,"Australia","2006-04","Australia-China nuclear cooperation agreements signed","Strategic partnership upgrade","战略伙伴关系提升"
2,"Australia","2009-07","Rio Tinto executive Stern Hu detained in Shanghai","Detention / judicial dispute","人员扣押/司法争议"
3,"Australia","2014-11","State visit to Australia","High-level visit","高层互访"
4,"Australia","2017-12","Foreign Interference Laws","Policy shift / domestic politics","政策转向/国内政治"
5,"Australia","2018-08","Australia bans Huawei from 5G","Tech control / export restriction","科技管制/出口限制"
6,"Australia","2020-04","Australia calls for COVID inquiry","Diplomatic protest / friction","外交抗议/摩擦"
7,"Australia","2020-05","China imposes barley tariffs","Economic sanction / tariff barrier","经贸制裁/关税壁垒"
8,"Belgium","2008-10","PM Leterme attends 7th ASEM Summit","Multilateral / third-party meeting","多边/第三方会晤"
9,"Belgium","2021-10","50th anniversary of China-Belgium diplomatic ties","Cultural / people-to-people cooperation","人文交流合作"
10,"Belgium","2023-02","PM De Croo meets Wang Yi at Munich Security Conference","Multilateral / third-party meeting","多边/第三方会晤"
11,"Belgium","2024-06","Vice Premier Ding Xuexiang meets PM De Croo in Brussels","High-level visit","高层互访"
12,"Belgium","2025-07","Wang Yi meets Belgian PM De Wever and FM Prevot","High-level visit","高层互访"
13,"Brazil","2017-09","Visa facilitation agreement enters into force","Cultural / people-to-people cooperation","人文交流合作"
14,"Canada","2009-05","China bans Canadian pork imports over H1N1; Canada protests","Diplomatic protest / friction","外交抗议/摩擦"
15,"Canada","2014-11","Bilateral meeting between President Xi Jinping and Prime Minister Stephen Harper on the sidelines of the G20 Brisbane Summit","Multilateral / third-party meeting","多边/第三方会晤"
16,"Canada","2018-12","China detains Canadians Kovrig and Spavor ('Two Michaels')","Detention / judicial dispute","人员扣押/司法争议"
17,"Canada","2018-12","Meng Wanzhou arrested","Detention / judicial dispute","人员扣押/司法争议"
18,"Canada","2025-06","Li Qiang phone call with PM Mark Carney","Remote talk / virtual meeting","远程通话/视频会晤"
19,"France","2007-11","State visit to China","High-level visit","高层互访"
20,"France","2008-12","Sarkozy meets Dalai Lama in Poland","Diplomatic protest / friction","外交抗议/摩擦"
21,"France","2020-07","French limits on Huawei 5G equipment","Tech control / export restriction","科技管制/出口限制"
22,"Germany","2022-02","BMW acquires 75% stake in China joint venture as ownership caps lift","Economic win-win cooperation","经贸互利合作"
23,"India","2005-04","India-China Strategic Partnership and Boundary Political Parameters Agreement","Strategic partnership upgrade","战略伙伴关系提升"
24,"India","2006-05","India-China defence ministers MOU","Military / security cooperation","军事安全合作"
25,"India","2006-11","Hu Jintao visits India","High-level visit","高层互访"
26,"India","2007-12","China-India Hand-in-Hand 2007 joint anti-terror military training","Military / security cooperation","军事安全合作"
27,"India","2016-09","Bilateral meeting on sidelines of G20 Summit","Multilateral / third-party meeting","多边/第三方会晤"
28,"India","2017-06","Bilateral meeting on sidelines of Shanghai Cooperation Organisation Summit","Multilateral / third-party meeting","多边/第三方会晤"
29,"India","2017-08","Doklam Standoff Disengagement","Sovereignty dispute","主权纠纷"
30,"Indonesia","2009-06","Indonesia detains 75 Chinese fishermen","Detention / judicial dispute","人员扣押/司法争议"
31,"Indonesia","2012-03","State visit to China","High-level visit","高层互访"
32,"Indonesia","2015-04","Bilateral meeting on sidelines of Bandung Conference commemoration","Multilateral / third-party meeting","多边/第三方会晤"
33,"Indonesia","2015-11","Bilateral meeting on sidelines of APEC Summit","Multilateral / third-party meeting","多边/第三方会晤"
34,"Indonesia","2016-09","State visit to China and attendance at G20 Summit","High-level visit","高层互访"
35,"Indonesia","2020-03","COVID in Indonesia","Pandemic / disaster shock","疫情/灾害冲击"
36,"Indonesia","2024-10","Vice President Han Zheng attends Prabowo inauguration and visits Indonesia","High-level visit","高层互访"
37,"Iran","2004-10","Sinopec signs US$70 billion Yadavaran oil and gas deal","Economic win-win cooperation","经贸互利合作"
38,"Iran","2006-12","UNSC Resolution 1737 sanctions on Iran (China votes in favour)","Multilateral / third-party meeting","多边/第三方会晤"
39,"Iran","2023-02","State visit to China","High-level visit","高层互访"
