国家英文名,国家中文名,实权职位中文,实权职位英文,领导人姓名英文,领导人姓名中文,任期开始,任期结束,备注
China,中国,中共中央总书记,General Secretary of CPC,Jiang Zemin,江泽民,1989-06,2002-11,第十六次党代会卸任
China,中国,中共中央总书记,General Secretary of CPC,Hu Jintao,胡锦涛,2002-11,2012-11,
China,中国,中共中央总书记,General Secretary of CPC,Xi Jinping,习近平,2012-11,2025-12,第十八、十九、二十大连任
Japan,日本,首相,Prime Minister,Junichiro Koizumi,小泉纯一郎,2001-04,2006-09,第87-89任首相
Japan,日本,首相,Prime Minister,Shinzo Abe,安倍晋三,2006-09,2007-09,第90任首相(第一任期)
Japan,日本,首相,Prime Minister,Yasuo Fukuda,福田康夫,2007-09,2008-09,第91任首相
Japan,日本,首相,Prime Minister,Taro Aso,麻生太郎,2008-09,2009-09,第92任首相
Japan,日本,首相,Prime Minister,Yukio Hatoyama,鸠山由纪夫,2009-09,2010-06,第93任首相(民主党)
Japan,日本,首相,Prime Minister,Naoto Kan,菅直人,2010-06,2011-09,第94任首相
Japan,日本,首相,Prime Minister,Yoshihiko Noda,野田佳彦,2011-09,2012-12,第95任首相
Japan,日本,首相,Prime Minister,Shinzo Abe,安倍晋三,2012-12,2020-09,第96-98任首相(第二任期;任期最长)
Japan,日本,首相,Prime Minister,Yoshihide Suga,菅义伟,2020-09,2021-10,第99任首相
Japan,日本,首相,Prime Minister,Fumio Kishida,岸田文雄,2021-10,2024-10,第100-101任首相
Japan,日本,首相,Prime Minister,Shigeru Ishiba,石破茂,2024-10,2025-10,第102-103任首相;2025.10.21卸任
Japan,日本,首相,Prime Minister,Sanae Takaichi,高市早苗,2025-10,2025-12,第104-105任首相;首位女首相;2025.10.21就任(来源:kantei.go.jp)
United States,美国,总统,President,George W. Bush,布什,2001-01,2009-01,第43任总统(连任两届)
United States,美国,总统,President,Barack Obama,奥巴马,2009-01,2017-01,第44任总统(连任两届)
United States,美国,总统,President,Donald Trump,特朗普,2017-01,2021-01,第45任总统(第一任期)
United States,美国,总统,President,Joe Biden,拜登,2021-01,2025-01,第46任总统
United States,美国,总统,President,Donald Trump,特朗普,2025-01,2025-12,第47任总统(第二任期;来源:whitehouse.gov)
South Korea,韩国,总统,President,Kim Dae-jung,金大中,1998-02,2003-02,第15任总统
South Korea,韩国,总统,President,Roh Moo-hyun,卢武铉,2003-02,2008-02,第16任总统
South Korea,韩国,代总统(弹劾代行),Acting President,Goh Kun,高建,2004-03,2004-05,卢武铉弹劾期间代行;宪法法院驳回后复职
South Korea,韩国,总统,President,Lee Myung-bak,李明博,2008-02,2013-02,第17任总统
South Korea,韩国,总统,President,Park Geun-hye,朴槿惠,2013-02,2016-12,第18任总统;2016.12.9国会弹劾停职;2017.3.10罢免
South Korea,韩国,代总统(弹劾代行),Acting President,Hwang Kyo-ahn,黄教安,2016-12,2017-05,朴槿惠停职期间代行总统职权
South Korea,韩国,总统,President,Moon Jae-in,文在寅,2017-05,2022-05,第19任总统
South Korea,韩国,总统,President,Yoon Suk Yeol,尹锡悦,2022-05,2024-12,第20任总统;2024.12.14国会弹劾停职
South Korea,韩国,代总统(弹劾代行),Acting President,Han Duck-soo,韩德洙,2024-12,2024-12,代总统;12.27遭国会弹劾停职
South Korea,韩国,代总统(弹劾代行),Acting President,Choi Sang-mok,崔相穆,2024-12,2025-06,韩德洙遭弹劾后任代总统(经济副总理)
South Korea,韩国,总统,President,Lee Jae-myung,李在明,2025-06,2025-12,第21任总统;2025年6月当选就职
Germany,德国,联邦总理,Chancellor,Gerhard Schroder,施罗德,1998-10,2005-11,社民党
Germany,德国,联邦总理,Chancellor,Angela Merkel,默克尔,2005-11,2021-12,基民盟;连任四届执政16年
Germany,德国,联邦总理,Chancellor,Olaf Scholz,朔尔茨,2021-12,2025-05,社民党;2025.2.23大选败北;看守至新政府成立(来源:bundeswahlleiterin.de确认大选日期)
Germany,德国,联邦总理,Chancellor,Friedrich Merz,默茨,2025-05,2025-12,基民盟/基社盟;2025.2.23大选获胜后组阁就任(来源:bundeskanzler.de确认在任;就职月份基于组阁时间估算)
Malaysia,马来西亚,首相,Prime Minister,Mahathir Mohamad,马哈蒂尔,1981-07,2003-10,巫统/国民阵线;第一任期执政22年
