db,version,country,event_name,category,col,archive,full_repl
GDELT,v3,Australia,China-Australia LNG supply agreement signed,Economic win-win cooperation,shock,-0.39454186168293126,-0.4073123129016718
GDELT,v3,Australia,Australia-China Trade and Economic Framework signed,Economic win-win cooperation,shock,-2.892066498548627,-2.985676322316197
GDELT,v3,Australia,Australia-China Air Services Agreement signed,Economic win-win cooperation,shock,-0.32899546810599556,-0.33964432690823476
GDELT,v3,Australia,FTA Talks Begin,Economic win-win cooperation,shock,0.20104675391914872,0.2075541946065802
GDELT,v3,Australia,Australia-China nuclear cooperation agreements signed,Economic win-win cooperation,shock,-0.7544450486789969,-0.7788647734967347
GDELT,v3,Australia,Australia-China Joint Coordination Group on Clean Coal Technology launched,Economic win-win cooperation,shock,-2.533659222383117,-2.6156681918910407
GDELT,v3,Australia,Rio Tinto executive Stern Hu detained in Shanghai,Detention / judicial dispute,shock,-1.371748130961258,-1.4161485971528958
GDELT,v3,Australia,China-Australia FTA,Economic win-win cooperation,shock,-0.7433904504628989,-0.7674523622803655
GDELT,v3,Australia,ChAFTA enters into force,Economic win-win cooperation,shock,-0.470906319759808,-0.48614852031981326
GDELT,v3,Australia,Foreign Interference Laws,Policy shift / domestic politics,shock,-0.6972984971684508,-0.7198685139595888
GDELT,v3,Australia,Australia bans Huawei from 5G,Tech control / export restriction,shock,-1.2115719833350378,-1.25078790036137
GDELT,v3,Australia,Australia calls for COVID inquiry,Diplomatic protest / friction,shock,-1.2772284791208561,-1.318569552329728
GDELT,v3,Australia,China imposes barley tariffs,Economic sanction / tariff barrier,shock,-0.5995524270288468,-0.6189586187819599
GDELT,v3,Australia,AUKUS security pact announced,Security threat,shock,1.0902875367692624,1.125577743347904
GDELT,v3,Australia,China lifts barley tariffs,Economic win-win cooperation,shock,0.5110046594136128,0.5275447549252897
GDELT,v3,Australia,China lifts wine tariffs,Economic win-win cooperation,shock,-0.18886573858400224,-0.19497890662956863
GDELT,v3,Belgium,Belgium-Luxembourg Economic Union and China sign BIT,Economic win-win cooperation,shock,1.0250534711903614,1.4416359195397803
GDELT,v3,Belgium,Belgium provides emergency aid after Wenchuan earthquake,Pandemic / crisis aid,shock,0.46339391300244037,0.6517175236767218
GDELT,v3,Belgium,China and Belgium establish all-round friendly cooperative partnership,Strategic partnership upgrade,shock,-0.04243901680288409,-0.059686262943865476
GDELT,v3,Belgium,China-Belgium industrial investment fund agreement signed,Economic win-win cooperation,shock,-0.04243901680288409,-0.059686262943865476
GDELT,v3,Belgium,50th anniversary of China-Belgium diplomatic ties,Cultural / people-to-people cooperation,shock,-0.40247992275802436,-0.5660480451500375
GDELT,v3,Brazil,COSBAN established,Strategic partnership upgrade,shock,-4.221303733344361,-5.362442927835071
GDELT,v3,Brazil,Brazil recognizes China's market economy status,Economic win-win cooperation,shock,-4.221303733344361,-5.362442927835071
GDELT,v3,Brazil,China becomes Brazil's largest trading partner,Economic win-win cooperation,shock,0.6503160311524528,0.8261150635916017
GDELT,v3,Brazil,China-Brazil Joint Action Plan 2010-2014 signed,Strategic partnership upgrade,shock,0.5737643344086231,0.7288692526410356
GDELT,v3,Brazil,Comprehensive strategic partnership established,Strategic partnership upgrade,shock,-0.37471143802719337,-0.47600666233886324
GDELT,v3,Brazil,BRICS New Development Bank and Contingent Reserve Arrangement established,Economic win-win cooperation,shock,0.07981900643389532,0.10139636794606055
GDELT,v3,Brazil,Visa facilitation agreement enters into force,Cultural / people-to-people cooperation,shock,0.788755659085123,1.0019788844949873
GDELT,v3,Brazil,Brazil says no restrictions on Huawei 5G,Economic win-win cooperation,shock,-1.411889118214255,-1.7935631489982846
GDELT,v3,Brazil,China-Brazil local currency trade settlement agreement,Economic win-win cooperation,shock,-0.6149016164702805,-0.7811271192141955
