"country_en","country_cn","event_date","event_name","event_type_original","event_category","event_category_en","impact","visit_level","visit_direction","visitor","host","location","source"
"Australia","澳大利亚","2002-10","China-Australia LNG supply agreement signed","economic","经贸互利合作","Economic win-win cooperation","positive","","","","","","http://www.china.org.cn/english/2002/Oct/46174.htm"
"Australia","澳大利亚","2003-10","State visit to Australia","leader_visit","高层互访","High-level visit","neutral","state_head","china_to_partner","Chinese President Hu Jintao","Australian Prime Minister John Howard","Canberra","https://www.mfa.gov.cn/gjhdq_676201/gj_676203/dyz_681240/1206_681242/sbgx_681246/"
"Australia","澳大利亚","2003-10","Australia-China Trade and Economic Framework signed","economic","经贸互利合作","Economic win-win cooperation","positive","","","","","","https://english.mofcom.gov.cn/Policies/PolicyInterpretation/art/2015/art_ceaa6285302c4a3f8f8d84101eedea26.html"
"Australia","澳大利亚","2004-03","Australia-China Air Services Agreement signed","economic","经贸互利合作","Economic win-win cooperation","positive","","","","","","https://treaty.mfa.gov.cn/web/detail1.jsp?objid=1531876977155"
"Australia","澳大利亚","2005-04","Official visit to China","leader_visit","高层互访","High-level visit","neutral","government_head","partner_to_china","Australian Prime Minister John Howard","Chinese President Hu Jintao","Beijing","https://www.mfa.gov.cn/gjhdq_676201/gj_676203/dyz_681240/1206_681242/sbgx_681246/"
"Australia","澳大利亚","2005-05","FTA Talks Begin","economic","经贸互利合作","Economic win-win cooperation","positive","","","","","","https://www.smh.com.au/national/australia-china-fta-talks-slow-20070216-gdphhz.html"
"Australia","澳大利亚","2006-04","Official visit to Australia","leader_visit","高层互访","High-level visit","neutral","government_head","china_to_partner","Chinese Premier Wen Jiabao","Australian Prime Minister John Howard","Canberra","https://www.mfa.gov.cn/gjhdq_676201/gj_676203/dyz_681240/1206_681242/sbgx_681246/"
"Australia","澳大利亚","2006-04","Australia-China nuclear cooperation agreements signed","economic","经贸互利合作","Economic win-win cooperation","positive","","","","","","https://www.caea.gov.cn/english/n6759374/n6759376/c6793189/content.html"
"Australia","澳大利亚","2007-01","Australia-China Joint Coordination Group on Clean Coal Technology launched","economic","经贸互利合作","Economic win-win cooperation","positive","","","","","","https://www.oecd.org/content/dam/oecd/en/publications/reports/2009/04/cleaner-coal-in-china_g1gh9580/9789264048164-en.pdf"
"Australia","澳大利亚","2007-09","Bilateral meeting on sidelines of APEC summit","leader_visit","多边/第三方会晤","Multilateral / third-party meeting","neutral","state_head","third_party_meeting","Chinese President Hu Jintao","Australian Prime Minister John Howard","Sydney","https://www.mfa.gov.cn/gjhdq_676201/gj_676203/dyz_681240/1206_681242/sbgx_681246/"
"Australia","澳大利亚","2008-04","Rudd at PKU","leader_visit","高层互访","High-level visit","positive","government_head","third_party_meeting","","","","https://www.mfa.gov.cn/gjhdq_676201/gj_676203/dyz_681240/1206_681242/sbgx_681246/"
"Australia","澳大利亚","2009-07","Rio Tinto executive Stern Hu detained in Shanghai","diplomatic","人员扣押/司法争议","Detention / judicial dispute","negative","","","","","","https://www.chinadaily.com.cn/china/2009-08/12/content_8558313.htm"
